Domain,Type,Source
gitlabsso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
linkedinsso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
walmartsso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
grubhubsso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
zen-sso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
applesso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
connect-sso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
square-sso.com,SSO Phishing,SEKOIA-IO (Feb 2024)
sec-sso.net,SSO Phishing,SEKOIA-IO (Feb 2024)
cellularhr.com,HR Portal Impersonation,SEKOIA-IO (Feb 2024)
roblox-hrs.com,HR Portal Impersonation,SEKOIA-IO (Feb 2024)
bell-hr.com,HR Portal Impersonation,SEKOIA-IO (Feb 2024)
allstate-hr.com,HR Portal Impersonation,SEKOIA-IO (Feb 2024)
ciscoacclink.com,VPN Portal Impersonation,Unit42 (Oct 2024)
fortivpnlink.com,VPN Portal Impersonation,Unit42 (Oct 2024)
logonlink.com,VPN Portal Impersonation,Unit42 (Oct 2024)
vpncisco.com,VPN Portal Impersonation,Unit42 (Oct 2024)
webpaloalto.com,VPN Portal Impersonation,Unit42 (Oct 2024)
